# Updated on: 2022/04/15;;;;;;;;;;;;;;;;;;
# Ab.;Name;Type;Country;Date (UTC);Time (UTC);Time Zone;Mass (kg);a (AU);a error (AU);e;e error (AU);i (°);i error (°);Arg. Peri. (°);Arg. Peri. Error (°);Asc. node (°);Asc. node error (°);Ref.
NM;Novo Mesto;L5;Slovenia;2020/02/28;09:30:32;UTC+1;4500;1.451;0.004;0.60866;0.0006;8.755;0.063;82.649;0.184;338.993041;;VI21
CA;Cavezzo;L5-an;Italy;2020/01/01;18:26:54;UTC+1;3.5±0.8 / 0.055;1.82;0.22;0.46;0.063;4;1.6;179.2;4.8;280.5;4.8;GA20
FL;Flensburg;C1-ungr.;Germany;2019/09/12;12:49:48;UTC+2;10k-20k / 0.0245;2.82;0.03;0.701;0.003;6.82;0.06;307.25;0.16;349.207;0.001;BO21
VI;Viñales;L6;Cuba;2019/02/01;18:17:10;UTC-5;50 / ???;1.217;;0.391;;11.47;;276.97;;132.28;;ZU19, CI21
MP;Motopi Pan;Howardite;Botswana;2018/06/02;16:44:01;UTC+2;5.5k / 0.214;1.3764;0.00011;0.431861;0.000061;4.29741;0.00043;256.04869;0.00055;71.869605;0.000012;JE21
HA;Hamburg;H4;USA;2018/01/17;01:08:29;UTC-4;60 - 225 / 1.0;2.73;0.05;0.661;0.006;0.604;0.11;211.65;0.3;296.421;0.03;BR19
DD;Dingle Dell;L/LL5;Australia;2016/10/31;12:03:47;UTC+8;40 / 1.15;2.254;0.034;0.5904;0.0063;4.051;0.012;215.773;0.049;218.252;0.00032;DE18
DI;Dishchii'bikoh;LL7;USA;2016/06/02;10:56:26;UTC-7;3k-15k / 0.0795;1.129;0.008;0.205;0.004;21.24;0.27;108.7;1.5;72.1206;0.0002;JE20
ST;Stubenberg;LL6;Germany;2016/03/06;21:36:51;UTC+1;600 / 1.47;1.525;0.01;0.395;0.004;2.07;0.03;221.02;0.03;346.52;;SP16b
EJ;Ejby;H5/6;Denmark;2016/02/06;21:07:18;UTC+1;250±100 / 8.94;2.81;0.09;0.655;0.011;0.96;0.1;197.75;0.1;317.211;;SP17
OS;Osceola;L6;USA;2016/01/24;15:27:00;UTC-5;>1800 / 1.099;1.486;;0.3406;;13.2;;169;;303.9;;ME20
MU;Murrili;H5;Australia;2015/11/27;10:43:45;UTC+9.5;??? / 1.68;2.62;;0.62;;3.58;;356.3;;64.63;;BL16
CR;Creston;L6;USA;2015/10/24;05:47:44;UTC-7;10-100 / 0.688;1.3;0.019;0.41;0.013;4.228;0.07;79.2;0.13;30.458;0.006;JE19
SA;Sariçiçek;Howardite;Turkey;2015/09/02;20:11:36;UTC+3;ca. 6 - 20k / 15.24;1.454;0.083;0.304;0.039;22.6;1.6;182.8;1.6;159.849;0.004;UN19
PO;Porangaba;L4;Brazil;2015/01/09;17:35:00;UTC-2;0.976 / ?;2.54;1.1;0.64;0.11;8.6;3.2;142.8;6.7;288.921;0.001;FE20
ZD;Žd'ár nad Sázavou;L3;Czech Rep.;2014/12/09;16:16:45;UTC+1;170 / 0.05;2.093;0.006;0.6792;0.001;2.796;0.009;257.721;0.014;257.262;0.01;SP20
AN;Annama;H5;Russia;2014/04/18;22:14:09;UTC+4;472 / 0.17;1.99;0.12;0.69;0.02;14.65;0.46;264.77;0.55;28.611;0.001;TR15
CH;Chelyabinsk;LL5;Russia;2013/02/15;03:22:00;UTC+6;ca. 1.2M / ca. 1k;1.72;0.02;0.571;0.006;4.98;0.12;107.67;0.17;326.459;0.001;BO13b
NO;Novato;L6;USA;2012/10/18;02:44:00;UTC-7;80±35 / 0.31;2.088;0.077;0.526;0.017;5.508;0.04;347.352;0.134;24.99;0.0035;JE14
SM;Sutter's Mill;C, CM2;USA;2012/04/22;14:51:10;UTC-7;50k±30k / 0.99;2.59;0.35;0.824;0.02;2.38;1.16;77.8;3.2;32.77;0.06;JE12
KR;Križevci;H6;Croatia;2011/02/04;23:20:41;UTC+1;25-100 / 0.29;1.544;0.01;0.521;0.004;0.64;0.03;254.4;0.1;315.55;0.01;BO15
MG;Mason Gully;H5;Australia;2010/04/13;10:36:10;UTC+8;ca. 40 / 0.02;2.47;0.004;0.6023;0.0007;0.832;0.013;18.95;0.03;203.2112;0.00005;SP12b
KO;Košice;H5;Slovakia;2010/02/28;22:24:46;UTC+1;ca. 3500 / 4.3;2.71;0.24;0.647;0.032;2;0.8;204.2;1.2;340.072;0.004;BO13a
GR;Grimsby;H5;Canada;2009/09/26;01:03:00;UTC-4;33±16 / 0.22;2.04;0.05;0.518;0.011;28.07;0.28;159.865;0.43;182.9561;0.00005;BR11
JE;Jesenice;L6;Slovenia;2009/04/09;00:59:41;UTC+2;170±80 / 3.67;1.75;0.07;0.431;0.022;9.6;0.5;190.5;0.5;19.196;0.0005;SP10
MA;Maribo;CM2;Denmark;2009/01/17;19:09:00;UTC+1;1500 / 0.03;2.48;0.2;0.807;0.011;0.11;0.5;279.2;3.8;297.122;;HA12, JE12, SP13
BC;Buzzard Coulee;H4;Canada;2008/11/21;00:26:40;UTC-7;ca. 15k / 41;1.25;0.02;0.23;0.02;25;0.8;211.3;1.4;238.93739;0.00008;MI10
AS;Almahata Sitta;Ureilite +other;Sudan;2008/10/07;02:45:40;UTC+3;83k±25k / 3.95;1.3082;;0.3121;;2.5422;;234.449;;194.1011;;JE09
BR;Bunburra Rockhole;Eurcite;Australia;2007/07/20;19:13:53;UTC+4.5;ca. 22 / 0.32;0.8529;0.0004;0.2427;0.0005;8.95;0.03;210.04;0.06;297.595;0.0005;BL09, SP12a
VP;Villalbeto de la Peña;L6;Spain;2004/01/04;16:47:00;UTC+1;760±150 / 3.5;2.3;0.2;0.63;0.04;0;0.2;132.3;1.5;283.6712;0.00005;TR06
PF;Park Forest;L5;USA;2003/03/27;05:50:00;UTC-6;11k±3k / 18;2.53;0.19;0.68;0.023;3.2;0.3;237.5;1.6;6.1156;0.0007;BR04
NE;Neuschwan- stein;EL6;Germany;2002/04/06;20:20:18;UTC+2;300±100 / 6.19;2.4;0.02;0.67;0.002;11.41;0.03;241.2;0.06;16.82664;0.00001;SP03
MO;Morávka;H5;Czech Rep.;2000/05/06;11:51:52;UTC+2;1500±500 / 0.63;1.85;0.07;0.47;0.02;32.2;0.5;203.5;0.6;46.258;0.00005;BO03
TL;Tagish Lake;C2-ung.;Canada;2000/01/18;16:43:42;UTC-8;75k±15k / 10;2.1;0.2;0.57;0.05;1.4;0.9;222;2;297.9;0.003;BR00
PE;Peekskill;H6;USA;1992/10/09;23:48:00;UTC-4;<10k / 12.57;1.49;0.03;0.41;0.01;4.9;0.2;308;1;17.03;0.001;BR94
BE;Benešov;LL3.5, H5;Czech Rep.;1991/05/07;23:03:46;UTC+2;4100±100 / 0.01;2.483;0.002;0.6274;0.0004;23.981;0.007;218.37;0.008;47.001;;CR05, SP14
IN;Innisfree;L5;Canada;1977/02/06;02:17:38;UTC-7;42±2 / 4.58;1.87;;0.473;;12.27;;178;;316.8;;CR05, HA78
LC;Lost City;H5;USA;1970/01/04;02:14:00;UTC-6;165±6 / 17;1.66;;0.417;;12;;161;;283;;CR05, MC71
PR;Příbram;H5;Czech Rep.;1959/04/07;19:30:20;UTC+1;<5000 / 5.56;2.401;0.002;0.6711;0.0003;10.482;0.0004;241.75;0.013;17.79147;0.00001;SP03, CE61
